issuingCompany,tradingName,cnpj,api_prefix
ETSP,EQUATO 7 SPE,26845702000160,ETSP
BMPS,BELMONTE II,30418547000172,BMPS
BLMN,BELOMONTE,20223016000170,BLMN
CCTY,RDVC CITY,52805925000103,CCTY
BMOB,BEMOBI TECH,9042817000105,BMOB
BMOL,BEMOL S.A.,4565289000147,BMOL
BRGM,BERGAMOCOMER,32988138000137,BRGM
BCEN,BEST CENTER,14576758000187,BCEN
BPES,BETA PROD,11371025000118,BPES
BETP,BETAPART,2762124000130,BETP
BTTR,BETTER DRINK,44268482000130,BTTR
BF48,BF. EMPRE,44116171000156,BF48
BHGR,BHGSA,8723106000125,BHGR
BMKS,BIC MONARK,56992423000190,BMKS
BGEN,BINGENSEC,16444103000180,BGEN
BIOE,BIOENERGETIC,8355201000113,BIOE
BION,BIOPARACATU,8793343000162,BION
BFLE,BIOFLEX,13808130000105,BFLE
BIED,BIOMA EDUC,45987245000192,BIED
BIOP,BIOMETANO VP,50365355000152,BIOP
BIOM,BIOMM,4752991000110,BIOM
LDCS,BIOSEVDIS,49213747011828,LDCS
BISO,BIRD,3305176000140,BISO
BIZC,BIZCAPITAL,27757072000134,BIZC
BLAX,BLACK BOX,17332000189,BLAX
BLAU,BLAU,58430828000160,BLAU
BLSP,BLENDPAPER,2364069000120,BLSP
BLOC,BLOCK FINANC,35618250000174,BLOC
ONZE,BLOCO ONZE,48725405000113,ONZE
BFFT,BLUEFIT,24921465000143,BFFT
BMEP,BMSA,12051345000153,BMEP
BMHY,BMCHYUNDAI,14168536000125,BMHY
BMYE,BMYE PARTICI,40361425000140,BMYE
BNYM,BNYMELLONBC,42272526000170,BNYM
BNMS,MELLONDTVM,2201501000161,BNMS
EPNC,BOA ESPER,46059783000180,EPNC
SOJA,BOA SAFRA,10807374000177,SOJA
BOLD,BOLD SECURIT,28231010000157,BOLD
BLTZ,BOLTZMANN EM,41572391000104,BLTZ
BOBR,BOMBRIL,50564053000103,BOBR
BNOM,BONNOMESOLAR,42171206000124,BNOM
