ticker,ticker_prefix,cnpj,issuingCompany,tradingName
CTSA3,CTSA,21255567000189,CTSA,SANTANENSE
RSID3,RSID,61065751000180,RSID,ROSSI RESID
CTSA4,CTSA,21255567000189,CTSA,SANTANENSE
BGIP3,BGIP,13009717000146,BGIP,BANESE
GSHP3,GSHP,8764621000153,GSHP,GENERALSHOPP
TELB3,TELB,336701000104,TELB,TELEBRAS
PATI4,PATI,92693019000189,PATI,PANATLANTICA
HBTS5,HBTS,87762563000103,HBTS,HABITASUL
FESA3,FESA,15141799000103,FESA,FERBASA
CEDO3,CEDO,17245234000100,CEDO,CEDRO
SOND5,SOND,33386210000119,SOND,SONDOTECNICA
SOND6,SOND,33386210000119,SOND,SONDOTECNICA
COCE3,COCE,7047251000170,COCE,COELCE
RPAD3,RPAD,17167396000169,RPAD,ALFA HOLDING
CBEE3,CBEE,33050071000158,CBEE,AMPLA ENERG
MRSA3B,MRSA,1417222000177,MRSA,MRS LOGIST
DTCY3,DTCY,3303999000136,DTCY,DTCOM-DIRECT
BAUH4,BAUH,95426862000197,BAUH,EXCELSIOR
